prod,subfund,issuer,date_auth,doc,deriv,type,id_prod,id_subfund,url_doc,name_subfund,name_prod,diff_text,year
Aberdeen Standard SICAV I (AAN337),Aberdeen Standard SICAV I - Climate Transition Bond Fund (BSE912),Abrdn Investments Luxembourg S.A.,2022-04-28,Offering Documents,No,11,AAN337,BSE912,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSE912&docType=OD,Aberdeen Standard SICAV I - Climate Transition Bond Fund,Aberdeen Standard SICAV I,- Climate Transition Bond,2022
Aberdeen Standard SICAV I (AAN337),Aberdeen Standard SICAV I - Emerging Markets Sustainable Development Equity Fund (BSE913),Abrdn Investments Luxembourg S.A.,2022-04-28,Offering Documents,No,11,AAN337,BSE913,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSE913&docType=OD,Aberdeen Standard SICAV I - Emerging Markets Sustainable Development Equity Fund,Aberdeen Standard SICAV I,- Emerging Markets Sustainable Development Equity,2022
Aberdeen Standard SICAV I (AAN337),Aberdeen Standard SICAV I - Frontier Markets Bond Fund (BPG748),Abrdn Investments Luxembourg S.A.,2020-03-24,Offering Documents,No,11,AAN337,BPG748,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BPG748&docType=OD,Aberdeen Standard SICAV I - Frontier Markets Bond Fund,Aberdeen Standard SICAV I,- Frontier Markets Bond,2020
Aberdeen Standard SICAV I (AAN337),Aberdeen Standard SICAV I - Global Dynamic Dividend Fund (BPX634),Abrdn Investments Luxembourg S.A.,2020-09-29,Offering Documents,No,11,AAN337,BPX634,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BPX634&docType=OD,Aberdeen Standard SICAV I - Global Dynamic Dividend Fund,Aberdeen Standard SICAV I,- Global Dynamic Dividend,2020
AIA Wealth Funds (BPA524),,AIA Investment Management HK Limited,2020-04-07,Offering Documents,,0,BPA524,,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=nan&docType=OD,,AIA Wealth Funds,,2020
AIA Wealth Funds (BPA524),AIA Asia (ex Japan) Equity Fund (BPA530),AIA Investment Management HK Limited,2020-04-07,Offering Documents,No,2,BPA524,BPA530,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BPA530&docType=OD,AIA Asia (ex Japan) Equity Fund,AIA Wealth Funds,Asia (ex Japan) Equity,2020
AIA Wealth Funds (BPA524),AIA Balanced Fund (BPA526),AIA Investment Management HK Limited,2020-04-07,Offering Documents,No,2,BPA524,BPA526,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BPA526&docType=OD,AIA Balanced Fund,AIA Wealth Funds,Balanced,2020
AIA Wealth Funds (BPA524),AIA Capital Stable Fund (BPA527),AIA Investment Management HK Limited,2020-04-07,Offering Documents,No,2,BPA524,BPA527,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BPA527&docType=OD,AIA Capital Stable Fund,AIA Wealth Funds,Capital Stable,2020
AIA Wealth Funds (BPA524),AIA China Equity Fund (BPA532),AIA Investment Management HK Limited,2020-04-07,Offering Documents,No,2,BPA524,BPA532,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BPA532&docType=OD,AIA China Equity Fund,AIA Wealth Funds,China Equity,2020
AIA Wealth Funds (BPA524),AIA Corporate Bond Fund (BPA529),AIA Investment Management HK Limited,2020-04-07,Offering Documents,No,2,BPA524,BPA529,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BPA529&docType=OD,AIA Corporate Bond Fund,AIA Wealth Funds,Corporate Bond,2020
AIA Wealth Funds (BPA524),AIA Dynamic Fund (BQP708),AIA Investment Management HK Limited,2021-04-22,Offering Documents,No,2,BPA524,BQP708,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BQP708&docType=OD,AIA Dynamic Fund,AIA Wealth Funds,Dynamic,2021
AIA Wealth Funds (BPA524),AIA Government Bond Fund (BPA528),AIA Investment Management HK Limited,2020-04-07,Offering Documents,No,2,BPA524,BPA528,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BPA528&docType=OD,AIA Government Bond Fund,AIA Wealth Funds,Government Bond,2020
