Product (CE No.),Sub-fund (CE No.),Issuer,Authorisation date,Documents,Derivative funds,type
AB FCP I (ADX424),,AllianceBernstein (Luxembourg) S.a.r.l.,10/9/1997,Offering Documents,,0;0;0;0;0;0;0;0;0;0;0;0;0
AB FCP I (ADX424),American Income Portfolio (ADX434),AllianceBernstein (Luxembourg) S.a.r.l.,10/9/1997,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
AB FCP I (ADX424),Asia Ex-Japan Equity Portfolio (AUI725),AllianceBernstein (Luxembourg) S.a.r.l.,25/1/2010,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
AB FCP I (ADX424),China Low Volatility Equity Portfolio (AOA998),AllianceBernstein (Luxembourg) S.a.r.l.,21/12/2006,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
AB FCP I (ADX424),Dynamic Diversified Portfolio (ALT950),AllianceBernstein (Luxembourg) S.a.r.l.,7/7/2005,Offering Documents,Yes,0;0;0;0;0;0;0;0;0;11;0;0;0
AB FCP I (ADX424),Emerging Markets Debt Portfolio (AOB001),AllianceBernstein (Luxembourg) S.a.r.l.,21/12/2006,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
AB FCP I (ADX424),Emerging Markets Growth Portfolio (ADX433),AllianceBernstein (Luxembourg) S.a.r.l.,10/9/1997,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
AB FCP I (ADX424),European Income Portfolio (AFD139),AllianceBernstein (Luxembourg) S.a.r.l.,22/11/1999,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
AB FCP I (ADX424),Global Equity Blend Portfolio (ALT951),AllianceBernstein (Luxembourg) S.a.r.l.,7/7/2005,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
AB FCP I (ADX424),Global High Yield Portfolio (AEH594),AllianceBernstein (Luxembourg) S.a.r.l.,19/12/1997,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
AB FCP I (ADX424),Global Value Portfolio (ANE325),AllianceBernstein (Luxembourg) S.a.r.l.,21/4/2006,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
AB FCP I (ADX424),Japan Strategic Value Portfolio (AOA997),AllianceBernstein (Luxembourg) S.a.r.l.,21/12/2006,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
AB FCP I (ADX424),Mortgage Income Portfolio (ADX435),AllianceBernstein (Luxembourg) S.a.r.l.,10/9/1997,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
AB FCP I (ADX424),Short Duration Bond Portfolio (ADX437),AllianceBernstein (Luxembourg) S.a.r.l.,10/9/1997,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
AB (HK) Unit Trust Series (BFF199),,AllianceBernstein Hong Kong Limited,22/7/2015,Offering Documents,,0;0;0;0;0;0;0;0;0;0;0;0;0
AB (HK) Unit Trust Series (BFF199),AB (HK) All Market Income Portfolio (BRV468),AllianceBernstein Hong Kong Limited,29/12/2021,Offering Documents,No,2;0;0;0;0;0;0;0;0;0;0;0;0
AB (HK) Unit Trust Series (BFF199),AB (HK) American Income Portfolio (BFF203),AllianceBernstein Hong Kong Limited,22/7/2015,Offering Documents,No,2;0;0;0;0;0;0;0;0;0;0;0;0
AB (HK) Unit Trust Series (BFF199),AB (HK) Asia Income Opportunities Portfolio (BRV469),AllianceBernstein Hong Kong Limited,29/12/2021,Offering Documents,No,2;0;0;0;0;0;0;0;0;0;0;0;0
AB (HK) Unit Trust Series (BFF199),AB (HK) Emerging Markets Multi-Asset Portfolio (BFF205),AllianceBernstein Hong Kong Limited,22/7/2015,Offering Documents,No,2;0;0;0;0;0;0;0;0;0;0;0;0
AB (HK) Unit Trust Series (BFF199),AB (HK) European Income Portfolio (BFF204),AllianceBernstein Hong Kong Limited,22/7/2015,Offering Documents,No,2;0;0;0;0;0;0;0;0;0;0;0;0
AB (HK) Unit Trust Series (BFF199),AB (HK) Global High Yield Portfolio (BFF202),AllianceBernstein Hong Kong Limited,22/7/2015,Offering Documents,No,2;0;0;0;0;0;0;0;0;0;0;0;0
AB (HK) Unit Trust Series (BFF199),AB (HK) Low Volatility Equity Portfolio (BRV470),AllianceBernstein Hong Kong Limited,29/12/2021,Offering Documents,No,2;0;0;0;0;0;0;0;0;0;0;0;0
AB SICAV I (ANP585),,AllianceBernstein (Luxembourg) S.a.r.l.,10/7/2006,Offering Documents,,0;0;0;0;0;0;0;0;0;0;0;0;0
AB SICAV I (ANP585),All Market Income Portfolio (BLS795),AllianceBernstein (Luxembourg) S.a.r.l.,1/3/2018,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
AB SICAV I (ANP585),American Growth Portfolio (BLS810),AllianceBernstein (Luxembourg) S.a.r.l.,1/3/2018,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
AB SICAV I (ANP585),American Multi-Asset Portfolio (BSY982),AllianceBernstein (Luxembourg) S.a.r.l.,28/11/2022,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
AB SICAV I (ANP585),Asia Income Opportunities Portfolio (BJS920),AllianceBernstein (Luxembourg) S.a.r.l.,7/9/2017,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
AB SICAV I (ANP585),Asia Pacific Local Currency Debt Portfolio (AZT298),AllianceBernstein (Luxembourg) S.a.r.l.,28/2/2013,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
AB SICAV I (ANP585),China A Shares Equity Portfolio (BPQ088),AllianceBernstein (Luxembourg) S.a.r.l.,20/7/2020,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
AB SICAV I (ANP585),China Multi-Asset Portfolio (BSY983),AllianceBernstein (Luxembourg) S.a.r.l.,28/11/2022,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
AB SICAV I (ANP585),China Net Zero Solutions Portfolio (BTB539),AllianceBernstein (Luxembourg) S.a.r.l.,29/11/2022,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
AB SICAV I (ANP585),Climate High Income Portfolio (BTB540),AllianceBernstein (Luxembourg) S.a.r.l.,29/11/2022,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
AB SICAV I (ANP585),Concentrated Global Equity Portfolio (BDV563),AllianceBernstein (Luxembourg) S.a.r.l.,18/11/2014,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
AB SICAV I (ANP585),Concentrated US Equity Portfolio (BDV564),AllianceBernstein (Luxembourg) S.a.r.l.,18/11/2014,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
AB SICAV I (ANP585),Emerging Market Corporate Debt Portfolio (AZT301),AllianceBernstein (Luxembourg) S.a.r.l.,28/2/2013,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
AB SICAV I (ANP585),Emerging Market Local Currency Debt Portfolio (AZT302),AllianceBernstein (Luxembourg) S.a.r.l.,28/2/2013,Offering Documents,Yes,0;0;0;0;0;0;0;0;0;11;0;0;0
AB SICAV I (ANP585),Emerging Markets Low Volatility Equity Portfolio (BDV559),AllianceBernstein (Luxembourg) S.a.r.l.,18/11/2014,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
AB SICAV I (ANP585),Emerging Markets Multi-Asset Portfolio (AZT300),AllianceBernstein (Luxembourg) S.a.r.l.,28/2/2013,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
AB SICAV I (ANP585),European Equity Portfolio (BLS812),AllianceBernstein (Luxembourg) S.a.r.l.,1/3/2018,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
AB SICAV I (ANP585),Eurozone Equity Portfolio (BLS811),AllianceBernstein (Luxembourg) S.a.r.l.,1/3/2018,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
AB SICAV I (ANP585),Global Core Equity Portfolio (BDV565),AllianceBernstein (Luxembourg) S.a.r.l.,18/11/2014,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
AB SICAV I (ANP585),Global Dynamic Bond Portfolio (BDV561),AllianceBernstein (Luxembourg) S.a.r.l.,18/11/2014,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
AB SICAV I (ANP585),Global Income Portfolio (BPQ089),AllianceBernstein (Luxembourg) S.a.r.l.,20/7/2020,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
AB SICAV I (ANP585),Global Plus Fixed Income Portfolio (AZT299),AllianceBernstein (Luxembourg) S.a.r.l.,28/2/2013,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
AB SICAV I (ANP585),Global Real Estate Securities Portfolio (ANP588),AllianceBernstein (Luxembourg) S.a.r.l.,10/7/2006,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
AB SICAV I (ANP585),India Growth Portfolio (ATO548),AllianceBernstein (Luxembourg) S.a.r.l.,25/8/2009,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
AB SICAV I (ANP585),International Health Care Portfolio (ANP586),AllianceBernstein (Luxembourg) S.a.r.l.,10/7/2006,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
AB SICAV I (ANP585),International Technology Portfolio (ANP587),AllianceBernstein (Luxembourg) S.a.r.l.,10/7/2006,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
AB SICAV I (ANP585),Low Volatility Equity Portfolio (BCV864),AllianceBernstein (Luxembourg) S.a.r.l.,30/5/2014,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
AB SICAV I (ANP585),Low Volatility Total Return Equity Portfolio (BOH946),AllianceBernstein (Luxembourg) S.a.r.l.,26/8/2019,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
AB SICAV I (ANP585),RMB Income Plus Portfolio (BOH947),AllianceBernstein (Luxembourg) S.a.r.l.,26/8/2019,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
AB SICAV I (ANP585),Select US Equity Portfolio (AZT297),AllianceBernstein (Luxembourg) S.a.r.l.,28/2/2013,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
AB SICAV I (ANP585),Short Duration High Yield Portfolio (AZT295),AllianceBernstein (Luxembourg) S.a.r.l.,28/2/2013,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
AB SICAV I (ANP585),Sustainable All Market Portfolio (BSQ440),AllianceBernstein (Luxembourg) S.a.r.l.,17/8/2022,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
AB SICAV I (ANP585),Sustainable Euro High Yield Portfolio (AUZ695),AllianceBernstein (Luxembourg) S.a.r.l.,12/7/2010,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
AB SICAV I (ANP585),Sustainable Global Thematic Portfolio (ANP589),AllianceBernstein (Luxembourg) S.a.r.l.,10/7/2006,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
AB SICAV I (ANP585),Sustainable Income Portfolio (BSQ441),AllianceBernstein (Luxembourg) S.a.r.l.,17/8/2022,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
AB SICAV I (ANP585),Sustainable US Thematic Portfolio (BRQ994),AllianceBernstein (Luxembourg) S.a.r.l.,18/11/2021,Offering Documents,No,2;0;0;0;0;0;0;0;0;11;0;0;0
AB SICAV I (ANP585),US High Yield Portfolio (BDV557),AllianceBernstein (Luxembourg) S.a.r.l.,18/11/2014,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
AB SICAV I (ANP585),US Small and Mid-Cap Portfolio (AUZ696),AllianceBernstein (Luxembourg) S.a.r.l.,12/7/2010,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
ABC-CA Consumption Theme Mixed Securities Investment Fund (BHK957),,ABC-CA Fund Management Company Limited,22/7/2016,,No,0;0;0;0;0;0;0;0;0;0;0;0;0
ABC-CA Sector Growth Mixed Securities Investment Fund (BHK958),,ABC-CA Fund Management Company Limited,22/7/2016,,No,0;0;0;0;0;0;0;0;0;0;0;0;0
ABCI Investment Funds (BDW215),,ABCI Asset Management Limited,9/12/2014,Offering Documents,,0;0;0;0;0;0;0;0;0;0;0;0;0
ABCI Investment Funds (BDW215),ABCI Dynamic Income Fund (BDW216),ABCI Asset Management Limited,9/12/2014,Offering Documents,No,2;0;0;0;0;0;0;0;0;0;0;0;0
Aberdeen Standard Liquidity Fund (Lux) (BRB594),,Abrdn Investments Luxembourg S.A.,8/9/2021,Offering Documents,,0;0;0;0;0;0;0;0;0;0;0;0;0
Aberdeen Standard Liquidity Fund (Lux) (BRB594),Aberdeen Standard Liquidity Fund (Lux) - US Dollar Fund (BRB596),Abrdn Investments Luxembourg S.A.,8/9/2021,Offering Documents,No,0;0;4;0;0;0;0;0;0;11;0;0;0
Aberdeen Standard SICAV I (AAN337),,Abrdn Investments Luxembourg S.A.,13/4/1989,Offering Documents,,0;0;0;0;0;0;0;0;0;0;0;0;0
Aberdeen Standard SICAV I (AAN337),Aberdeen Standard SICAV I - All China Sustainable Equity Fund (AMO918),Abrdn Investments Luxembourg S.A.,9/3/2006,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
Aberdeen Standard SICAV I (AAN337),Aberdeen Standard SICAV I - American Focused Equity Fund (ABD638),Abrdn Investments Luxembourg S.A.,13/4/1989,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
Aberdeen Standard SICAV I (AAN337),Aberdeen Standard SICAV I - Asia Pacific Sustainable Equity Fund (ABD639),Abrdn Investments Luxembourg S.A.,13/4/1989,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
Aberdeen Standard SICAV I (AAN337),Aberdeen Standard SICAV I - Asian Smaller Companies Fund (AMO916),Abrdn Investments Luxembourg S.A.,9/3/2006,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
Aberdeen Standard SICAV I (AAN337),Aberdeen Standard SICAV I - Asian Sustainable Development Equity Fund (BQW126),Abrdn Investments Luxembourg S.A.,13/5/2021,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
Aberdeen Standard SICAV I (AAN337),Aberdeen Standard SICAV I - Australasian Equity Fund (ABD641),Abrdn Investments Luxembourg S.A.,13/4/1989,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
Aberdeen Standard SICAV I (AAN337),Aberdeen Standard SICAV I - Australian Dollar Income Bond Fund (BPG747),Abrdn Investments Luxembourg S.A.,24/3/2020,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
Aberdeen Standard SICAV I (AAN337),Aberdeen Standard SICAV I - China A Share Sustainable Equity Fund (BNR311),Abrdn Investments Luxembourg S.A.,8/1/2019,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
Aberdeen Standard SICAV I (AAN337),Aberdeen Standard SICAV I - Climate Transition Bond Fund (BSE912),Abrdn Investments Luxembourg S.A.,28/4/2022,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
Aberdeen Standard SICAV I (AAN337),Aberdeen Standard SICAV I - Diversified Income Fund (BNR312),Abrdn Investments Luxembourg S.A.,8/1/2019,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
Aberdeen Standard SICAV I (AAN337),Aberdeen Standard SICAV I - Emerging Markets Corporate Bond Fund (AXR827),Abrdn Investments Luxembourg S.A.,19/7/2012,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
Aberdeen Standard SICAV I (AAN337),Aberdeen Standard SICAV I - Emerging Markets Equity Fund (AGS023),Abrdn Investments Luxembourg S.A.,23/7/2001,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
Aberdeen Standard SICAV I (AAN337),Aberdeen Standard SICAV I - Emerging Markets Infrastructure Equity Fund (AVC998),Abrdn Investments Luxembourg S.A.,5/8/2010,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
Aberdeen Standard SICAV I (AAN337),Aberdeen Standard SICAV I - Emerging Markets Smaller Companies Fund (AOG335),Abrdn Investments Luxembourg S.A.,26/3/2007,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
Aberdeen Standard SICAV I (AAN337),Aberdeen Standard SICAV I - Emerging Markets Sustainable Development Equity Fund (BSE913),Abrdn Investments Luxembourg S.A.,28/4/2022,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
Aberdeen Standard SICAV I (AAN337),Aberdeen Standard SICAV I - Europe ex UK Sustainable Equity Fund (AMO919),Abrdn Investments Luxembourg S.A.,9/3/2006,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
Aberdeen Standard SICAV I (AAN337),Aberdeen Standard SICAV I - European Sustainable Equity Fund (AFA664),Abrdn Investments Luxembourg S.A.,7/4/1999,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
Aberdeen Standard SICAV I (AAN337),Aberdeen Standard SICAV I - Frontier Markets Bond Fund (BPG748),Abrdn Investments Luxembourg S.A.,24/3/2020,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
Aberdeen Standard SICAV I (AAN337),Aberdeen Standard SICAV I - Global Dynamic Dividend Fund (BPX634),Abrdn Investments Luxembourg S.A.,29/9/2020,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
Aberdeen Standard SICAV I (AAN337),Aberdeen Standard SICAV I - Global Innovation Equity Fund (AFP992),Abrdn Investments Luxembourg S.A.,23/2/2000,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
Aberdeen Standard SICAV I (AAN337),Aberdeen Standard SICAV I - Global Sustainable Equity Fund (AFA665),Abrdn Investments Luxembourg S.A.,7/4/1999,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
Aberdeen Standard SICAV I (AAN337),Aberdeen Standard SICAV I - Indian Equity Fund (AMO923),Abrdn Investments Luxembourg S.A.,9/3/2006,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
Aberdeen Standard SICAV I (AAN337),Aberdeen Standard SICAV I - Japanese Smaller Companies Sustainable Equity Fund (AOG337),Abrdn Investments Luxembourg S.A.,26/3/2007,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
Aberdeen Standard SICAV I (AAN337),Aberdeen Standard SICAV I - Japanese Sustainable Equity Fund (ABD647),Abrdn Investments Luxembourg S.A.,13/4/1989,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
Aberdeen Standard SICAV I (AAN337),Aberdeen Standard SICAV I - Latin American Equity Fund (ARO265),Abrdn Investments Luxembourg S.A.,15/7/2009,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
Aberdeen Standard SICAV I (AAN337),Aberdeen Standard SICAV I - North American Smaller Companies Fund (AXR826),Abrdn Investments Luxembourg S.A.,19/7/2012,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
Aberdeen Standard SICAV I (AAN337),Aberdeen Standard SICAV I - Select Emerging Markets Bond Fund (AGS024),Abrdn Investments Luxembourg S.A.,23/7/2001,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
Aberdeen Standard SICAV I (AAN337),Aberdeen Standard SICAV I - Select Euro High Yield Bond Fund (AFP993),Abrdn Investments Luxembourg S.A.,23/2/2000,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
Aberdeen Standard SICAV I (AAN337),Aberdeen Standard SICAV I - World Resources Equity Fund (AVD001),Abrdn Investments Luxembourg S.A.,5/8/2010,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
Aberdeen Standard SICAV I (AAN337),Aberdeen Standard SICAV I - World Smaller Companies Fund (BEK875),Abrdn Investments Luxembourg S.A.,23/2/2015,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
Aberdeen Standard SICAV II (AGD813),,Abrdn Investments Luxembourg S.A.,28/12/2000,Offering Documents,,0;0;0;0;0;0;0;0;0;0;0;0;0
Aberdeen Standard SICAV II (AGD813),Aberdeen Standard SICAV II - Global Inflation-Linked Government Bond Fund (ALO122),Abrdn Investments Luxembourg S.A.,28/4/2005,Offering Documents,Yes,0;0;0;0;0;0;0;0;0;11;0;0;0
Aberdeen Standard SICAV II (AGD813),Aberdeen Standard SICAV II – European Focused Equity Fund (AQC418),Abrdn Investments Luxembourg S.A.,5/3/2008,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
Aberdeen Standard SICAV II (AGD813),Aberdeen Standard SICAV II – European Smaller Companies Fund (AOY001),Abrdn Investments Luxembourg S.A.,6/7/2007,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
Aberdeen Standard SICAV II (AGD813),Aberdeen Standard SICAV II – Global Equities Fund (AHU906),Abrdn Investments Luxembourg S.A.,16/10/2002,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
Aberdeen Standard SICAV II (AGD813),Aberdeen Standard SICAV II – Global REIT Focus Fund (ANV092),Abrdn Investments Luxembourg S.A.,8/1/2007,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
Aberdeen Standard SICAV II (AGD813),Aberdeen Standard SICAV II – (SLI) China Equities Fund (ALO117),Abrdn Investments Luxembourg S.A.,28/4/2005,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
Aberdeen Standard SICAV II (AGD813),Aberdeen Standard SICAV II – (SLI) European Equities Fund (AGD923),Abrdn Investments Luxembourg S.A.,28/12/2000,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
AIA Wealth Funds (BPA524),,AIA Investment Management HK Limited,7/4/2020,Offering Documents,,0;0;0;0;0;0;0;0;0;0;0;0;0
AIA Wealth Funds (BPA524),AIA Asia (ex Japan) Equity Fund (BPA530),AIA Investment Management HK Limited,7/4/2020,Offering Documents,No,2;0;0;0;0;0;0;0;0;0;0;0;0
AIA Wealth Funds (BPA524),AIA Balanced Fund (BPA526),AIA Investment Management HK Limited,7/4/2020,Offering Documents,No,2;0;0;0;0;0;0;0;0;0;0;0;0
AIA Wealth Funds (BPA524),AIA Capital Stable Fund (BPA527),AIA Investment Management HK Limited,7/4/2020,Offering Documents,No,2;0;0;0;0;0;0;0;0;0;0;0;0
AIA Wealth Funds (BPA524),AIA China Equity Fund (BPA532),AIA Investment Management HK Limited,7/4/2020,Offering Documents,No,2;0;0;0;0;0;0;0;0;0;0;0;0
AIA Wealth Funds (BPA524),AIA Corporate Bond Fund (BPA529),AIA Investment Management HK Limited,7/4/2020,Offering Documents,No,2;0;0;0;0;0;0;0;0;0;0;0;0
AIA Wealth Funds (BPA524),AIA Dynamic Fund (BQP708),AIA Investment Management HK Limited,22/4/2021,Offering Documents,No,2;0;0;0;0;0;0;0;0;0;0;0;0
AIA Wealth Funds (BPA524),AIA Government Bond Fund (BPA528),AIA Investment Management HK Limited,7/4/2020,Offering Documents,No,2;0;0;0;0;0;0;0;0;0;0;0;0
AIA Wealth Funds (BPA524),AIA Greater China Equity Fund (BPA531),AIA Investment Management HK Limited,7/4/2020,Offering Documents,No,2;0;0;0;0;0;0;0;0;0;0;0;0
AIA Wealth Funds (BPA524),AIA Growth Fund (BPA525),AIA Investment Management HK Limited,7/4/2020,Offering Documents,No,2;0;0;0;0;0;0;0;0;0;0;0;0
Allianz Global Investors Asia Fund (BDN048),,Allianz Global Investors Asia Pacific Limited,5/9/2014,Offering Documents,,0;0;0;0;0;0;0;0;0;0;0;0;0
Allianz Global Investors Asia Fund (BDN048),Allianz Core Plus (BDN052),Allianz Global Investors Asia Pacific Limited,5/9/2014,Offering Documents,No,2;0;0;0;0;0;0;0;0;0;0;0;0
Allianz Global Investors Asia Fund (BDN048),Allianz Selection Diversified Aggressive Growth Fund (BPN120),Allianz Global Investors Asia Pacific Limited,2/7/2020,Offering Documents,No,2;0;0;0;0;0;0;0;0;0;0;0;0
Allianz Global Investors Asia Fund (BDN048),Allianz Selection Diversified Conservative Fund (BPN117),Allianz Global Investors Asia Pacific Limited,2/7/2020,Offering Documents,No,2;0;0;0;0;0;0;0;0;0;0;0;0
Allianz Global Investors Asia Fund (BDN048),Allianz Selection Diversified Moderate Growth Fund (BPN119),Allianz Global Investors Asia Pacific Limited,2/7/2020,Offering Documents,No,2;0;0;0;0;0;0;0;0;0;0;0;0
Allianz Global Investors Asia Fund (BDN048),Allianz Selection Diversified Stable Growth Fund (BPN118),Allianz Global Investors Asia Pacific Limited,2/7/2020,Offering Documents,No,2;0;0;0;0;0;0;0;0;0;0;0;0
Allianz Global Investors Asia Fund (BDN048),Allianz Selection Income and Growth (BDN051),Allianz Global Investors Asia Pacific Limited,5/9/2014,Offering Documents,No,2;0;0;0;0;0;0;0;0;0;0;0;0
Allianz Global Investors Asia Fund (BDN048),Allianz Thematic Income (BDN049),Allianz Global Investors Asia Pacific Limited,5/9/2014,Offering Documents,No,2;0;0;0;0;0;0;0;0;0;0;0;0
Allianz Global Investors Choice Fund (AFH733),,Allianz Global Investors Asia Pacific Limited,6/1/1999,Offering Documents,,0;0;0;0;0;0;0;0;0;0;0;0;0
Allianz Global Investors Choice Fund (AFH733),Allianz Choice Asian Fund (AJJ640),Allianz Global Investors Asia Pacific Limited,23/2/2004,Offering Documents,No,2;0;0;0;0;0;0;0;0;0;0;0;0
Allianz Global Investors Choice Fund (AFH733),Allianz Choice Balanced Fund (AFH736),Allianz Global Investors Asia Pacific Limited,6/1/1999,Offering Documents,No,0;0;0;0;0;0;0;0;0;0;0;0;0
Allianz Global Investors Choice Fund (AFH733),"Allianz Choice ""Best Styles"" Europe Fund (BGA508)",Allianz Global Investors Asia Pacific Limited,22/8/2016,Offering Documents,No,2;0;0;0;0;0;0;0;0;0;0;0;0
Allianz Global Investors Choice Fund (AFH733),"Allianz Choice ""Best Styles"" US Fund (BGA509)",Allianz Global Investors Asia Pacific Limited,22/8/2016,Offering Documents,No,2;0;0;0;0;0;0;0;0;0;0;0;0
Allianz Global Investors Choice Fund (AFH733),Allianz Choice Capital Stable Fund (AFH738),Allianz Global Investors Asia Pacific Limited,6/1/1999,Offering Documents,No,0;0;0;0;0;0;0;0;0;0;0;0;0
Allianz Global Investors Choice Fund (AFH733),Allianz Choice China A-Shares Fund (BRC209),Allianz Global Investors Asia Pacific Limited,5/8/2021,Offering Documents,No,0;0;0;0;0;0;0;0;0;0;0;0;0
Allianz Global Investors Choice Fund (AFH733),Allianz Choice Flexi Balanced Fund (AJJ642),Allianz Global Investors Asia Pacific Limited,23/2/2004,Offering Documents,No,2;0;0;0;0;0;0;0;0;0;0;0;0
Allianz Global Investors Choice Fund (AFH733),Allianz Choice Global Equity Fund (BQA697),Allianz Global Investors Asia Pacific Limited,16/11/2020,Offering Documents,No,2;0;0;0;0;0;0;0;0;0;0;0;0
Allianz Global Investors Choice Fund (AFH733),Allianz Choice Global Fixed Income Fund (BGA510),Allianz Global Investors Asia Pacific Limited,22/8/2016,Offering Documents,No,2;0;0;0;0;0;0;0;0;0;0;0;0
Allianz Global Investors Choice Fund (AFH733),Allianz Choice Greater China Fund (AUA430),Allianz Global Investors Asia Pacific Limited,24/3/2010,Offering Documents,No,2;0;0;0;0;0;0;0;0;0;0;0;0
Allianz Global Investors Choice Fund (AFH733),Allianz Choice Growth Fund (AFH734),Allianz Global Investors Asia Pacific Limited,6/1/1999,Offering Documents,No,0;0;0;0;0;0;0;0;0;0;0;0;0
